source,target,weight
"(121.43,31.229)","(121.454,31.223000000000003)",0.024738633753692254
"(121.47,31.224)","(121.444,31.214000000000002)",0.027856776554364023
"(121.539,31.279)","(121.536,31.285)",0.006708203932499624
"(121.436,31.221)","(121.446,31.225)",0.01077032961426106
"(121.333,31.246)","(121.335,31.268)",0.02209072203437611
"(121.44200000000001,31.307)","(121.428,31.303)",0.014560219778570046
"(121.49,31.23)","(121.48100000000001,31.221)",0.012727922061348288
"(121.47200000000001,31.206999999999997)","(121.48100000000001,31.201)",0.010816653826390406
"(121.411,31.273000000000003)","(121.42200000000001,31.274)",0.0110453610171969
"(121.416,31.175)","(121.42399999999999,31.183000000000003)",0.011313708498983515
"(121.51700000000001,31.185)","(121.49,31.184)",0.02701851217222773
"(121.44200000000001,31.252)","(121.441,31.253)",0.0014142135623773356
"(121.431,31.151)","(121.435,31.136)",0.015524174696261833
"(121.531,31.319000000000003)","(121.54,31.318)",0.009055385138137891
"(121.47,31.294)","(121.46,31.305999999999997)",0.015620499351814204
"(121.324,31.296)","(121.303,31.287)",0.022847319317592592
"(121.512,31.302)","(121.505,31.303)",0.0070710678118706
"(121.523,31.18)","(121.525,31.186999999999998)",0.00728010988928112
"(121.43700000000001,31.313000000000002)","(121.448,31.307)",0.012529964086127209
"(121.30799999999999,31.238000000000003)","(121.319,31.241)",0.011401754251000018
"(121.449,31.313000000000002)","(121.486,31.342)",0.04701063709417522
"(121.469,31.324)","(121.48299999999999,31.32)",0.014560219778557358
"(121.48200000000001,31.201999999999998)","(121.48299999999999,31.206)",0.004123105625613221
"(121.50299999999999,31.25)","(121.535,31.261999999999997)",0.03417601498127904
"(121.449,31.21)","(121.421,31.24)",0.041036569057358876
"(121.458,31.155)","(121.454,31.153000000000002)",0.004472135955003456
"(121.509,31.307)","(121.50299999999999,31.308000000000003)",0.006082762530313247
"(121.38799999999999,31.276)","(121.384,31.275)",0.004123105625608913
"(121.541,31.318)","(121.53200000000001,31.323)",0.010295630140974392
"(121.507,31.29)","(121.51700000000001,31.294)",0.010770329614274253
"(121.415,31.219)","(121.43,31.212)",0.016552945357247977
"(121.428,31.256)","(121.44,31.258000000000003)",0.012165525060597291
"(121.34899999999999,31.185)","(121.35,31.195)",0.010049875621122922
"(121.36399999999999,31.26)","(121.37799999999999,31.271)",0.017804493814761076
"(121.443,31.28)","(121.45299999999999,31.279)",0.010049875621111962
"(121.46600000000001,31.331999999999997)","(121.48299999999999,31.32)",0.020808652046668073
"(121.43799999999999,31.164)","(121.434,31.166999999999998)",0.004999999999990479
"(121.40799999999999,31.129)","(121.415,31.13)",0.007071067811884166
"(121.53399999999999,31.289)","(121.53,31.302)",0.013601470508730909
"(121.51299999999999,31.303)","(121.506,31.304000000000002)",0.007071067811856532
"(121.48200000000001,31.236)","(121.48700000000001,31.25)",0.014866068747316361
"(121.50399999999999,31.283)","(121.515,31.269000000000002)",0.017804493814770454
"(121.478,31.271)","(121.47,31.279)",0.011313708498981003
"(121.512,31.259)","(121.506,31.268)",0.010816653826392379
"(121.59700000000001,31.256999999999998)","(121.586,31.261999999999997)",0.012083045973603164
"(121.465,31.185)","(121.463,31.180999999999997)",0.004472135955005045
"(121.35700000000001,31.184)","(121.37899999999999,31.193)",0.023769728647988406
"(121.402,31.241)","(121.40899999999999,31.230999999999998)",0.012206555615729704
"(121.35700000000001,31.346999999999998)","(121.37200000000001,31.344)",0.015297058540778237
"(121.46600000000001,31.238000000000003)","(121.476,31.233)",0.011180339887491958
"(121.385,31.237)","(121.309,31.208000000000002)",0.08134494452638681
"(121.53399999999999,31.291)","(121.536,31.320999999999998)",0.03006659275674404
"(121.443,31.337)","(121.43799999999999,31.34)",0.005830951894853646
"(121.514,31.307)","(121.44200000000001,31.308000000000003)",0.07200694410956734
"(121.521,31.199)","(121.51299999999999,31.197)",0.0082462112512454
"(121.366,31.258000000000003)","(121.36200000000001,31.252)",0.007211102550925953
"(121.516,31.283)","(121.50200000000001,31.285999999999998)",0.01431782106327152
"(121.47399999999999,31.171)","(121.47,31.18)",0.00984885780179263
"(121.50399999999999,31.304000000000002)","(121.44,31.311999999999998)",0.06449806198638085
"(121.427,31.278000000000002)","(121.428,31.279)",0.0014142135623647749
"(121.48,31.34)","(121.494,31.336)",0.014560219778557358
"(121.46700000000001,31.33)","(121.46799999999999,31.324)",0.006082762530291052
"(121.435,31.153000000000002)","(121.428,31.13)",0.024041630560347173
"(121.34899999999999,31.209)","(121.354,31.22)",0.012083045973597871
"(121.46600000000001,31.204)","(121.46700000000001,31.195)",0.009055385138138283
"(121.45700000000001,31.118000000000002)","(121.447,31.160999999999998)",0.04414748010928521
"(121.456,31.256)","(121.47,31.25)",0.01523154621172404
"(121.459,31.333000000000002)","(121.456,31.34)",0.00761577310586202
"(121.486,31.302)","(121.51700000000001,31.301)",0.03101612483854759
"(121.54299999999999,31.274)","(121.542,31.267)",0.007071067811865576
"(121.428,31.252)","(121.431,31.246)",0.006708203932499624
"(121.493,31.315)","(121.50299999999999,31.340999999999998)",0.027856776554361473
"(121.449,31.252)","(121.45700000000001,31.24)",0.014422205101861759
"(121.324,31.296)","(121.32,31.283)",0.013601470508735088
"(121.44,31.195999999999998)","(121.416,31.217)",0.03189043743820516
"(121.473,31.26)","(121.432,31.265)",0.041303752856123484
"(121.463,31.168000000000003)","(121.455,31.151)",0.018788294228056775
"(121.45200000000001,31.26)","(121.459,31.259)",0.007071067811856532
"(121.488,31.314)","(121.485,31.319000000000003)",0.005830951894847553
"(121.431,31.29)","(121.448,31.308000000000003)",0.024758836806280164
"(121.391,31.269000000000002)","(121.368,31.252)",0.028600699292160293
"(121.48200000000001,31.203000000000003)","(121.478,31.21)",0.0080622577483062
"(121.54,31.266)","(121.529,31.285999999999998)",0.022825424421031047
"(121.406,31.206999999999997)","(121.40799999999999,31.215999999999998)",0.009219544457289126
"(121.463,31.180999999999997)","(121.478,31.209)",0.03176476034853943
"(121.47200000000001,31.318)","(121.48299999999999,31.32)",0.011180339887480517
"(121.38799999999999,31.131)","(121.38600000000001,31.136999999999997)",0.006324555320327636
"(121.45200000000001,31.183000000000003)","(121.463,31.180999999999997)",0.011180339887481789
"(121.541,31.328000000000003)","(121.539,31.314)",0.014142135623733162
"(121.38600000000001,31.214000000000002)","(121.384,31.206999999999997)",0.007280109889287951
"(121.49799999999999,31.215999999999998)","(121.493,31.221)",0.0070710678118640685
"(121.37700000000001,31.318)","(121.38600000000001,31.32)",0.009219544457292981
"(121.538,31.324)","(121.53200000000001,31.323)",0.006082762530284627
"(121.441,31.256)","(121.446,31.241999999999997)",0.014866068747319706
"(121.405,31.135)","(121.404,31.127)",0.008062257748301794
"(121.475,31.194000000000003)","(121.436,31.168000000000003)",0.046872166581021155
"(121.51299999999999,31.303)","(121.499,31.308000000000003)",0.014866068747315404
"(121.397,31.256)","(121.396,31.258000000000003)",0.0022360679775041115
"(121.444,31.320999999999998)","(121.43299999999999,31.32)",0.0110453610171969
"(121.38600000000001,31.252)","(121.387,31.269000000000002)",0.017029386365928854
"(121.444,31.217)","(121.445,31.212)",0.005099019513589959
"(121.39200000000001,31.22)","(121.428,31.218000000000004)",0.03605551275462681
"(121.538,31.151)","(121.539,31.142)",0.009055385138138283
"(121.509,31.289)","(121.521,31.291)",0.012165525060596706
"(121.42299999999999,31.276)","(121.441,31.261)",0.02343074902773177
"(121.491,31.263)","(121.48700000000001,31.269000000000002)",0.007211102550922997
